ilkid,firstname,lastname,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BUNTDI01  ,Dick,Bunt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNTIBI01 ,Bill,Bunting,6,35,18,0,0,6,1,0,0,0,4,10,5,12,8,0,0
BURKEPA01 ,Pat,Burke,6,43,17,10,1,11,1,1,0,4,9,10,6,6,5,0,0
BURKSAN01 ,Antonio,Burks,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BURLETO01 ,Tom,Burleson,15,572,311,0,0,153,23,0,0,0,54,227,123,86,65,0,0
BURMAJA01 ,Jack,Burmaster,3,0,36,0,0,0,8,0,0,0,7,31,16,4,4,0,0
BURRESC01 ,Scott,Burrell,23,273,85,35,11,46,11,21,3,11,33,76,34,13,11,21,6
BURTOWI01 ,Willie,Burton,2,11,2,0,0,0,0,0,0,1,3,4,1,0,0,2,0
BURTTST01 ,Steve,Burtt,8,104,50,9,3,12,14,5,0,8,18,38,16,21,18,2,0
BUSEDO01  ,Don,Buse,49,1208,239,0,0,134,159,0,0,0,100,249,100,64,39,0,0
BUSEDO01  ,Don,Buse,20,428,109,23,8,36,73,14,1,20,29,107,42,23,16,23,9
BUSTIDA01 ,Dave,Bustion,1,11,10,0,0,1,1,0,0,0,3,7,2,7,6,0,0
